,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,bulk_modulus,c6_gb,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_negativity,electron_affinity,en_allen,en_ghosh,en_pauling,first_ion_en,fusion_enthalpy,gs_bandgap,gs_energy,gs_est_bcc_latcnt,gs_est_fcc_latcnt,gs_mag_moment,gs_volume_per,hhi_p,hhi_r,heat_capacity_mass,heat_capacity_molar,icsd_volume,evaporation_heat,heat_of_formation,lattice_constant,mendeleev_number,melting_point,molar_volume,num_unfilled,num_valance,num_d_unfilled,num_d_valence,num_f_unfilled,num_f_valence,num_p_unfilled,num_p_valence,num_s_unfilled,num_s_valence,period,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_mm3,vdw_radius_uff,sound_velocity,Polarizability
I,53.0,150.73959144972966,238.0,25.7,126.90447,457.5,7.7,389.0,139.0,133.0,129.0,125.0,140.0,4.93,34.6,2.66,3.0590368,13.95,0.2195176,2.66,10.45126,7.76,1.062,-1.505402418,4.414518159,5.561944354,0.0,43.015,4900.0,4800.0,0.214,54.43,42.51,41.95,106.757,7.72,97.0,386.7,25.72,1.0,17.0,0.0,10.0,0.0,0.0,1.0,5.0,0.0,2.0,5.0,0.9818182696046532,0.449,198.0,204.0,236.0,450.0,3289.2149364944185,5.35
Xe,54.0,147.20300540202263,232.0,42.9,131.293,166.1,56.61942174045522,302.0,140.0,131.0,135.0,122.0,129.1374543728122,3.52,27.815,2.6,-0.056,15.27,0.2333511,2.6,12.12984,2.27,6.456,0.04873128,4.751892136,5.987008929,0.0,53.65,4092.886220305677,3940.271962082596,0.158,20.786,57.83,12.65,134.26438121714492,6.2,5.0,161.3,35.92,0.0,18.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,2.0,5.0,0.158,0.00565,216.0,228.0,228.0,440.4,1090.0,4.044
Cs,55.0,267.0,249.0,70.0,132.905452,951.6,1.6,6660.0,244.0,232.0,209.0,153.21201787608643,260.0,1.873,401.0,0.79,0.4716260000000001,3.898,0.1542125,0.79,3.893905,2.09,0.0,-0.85462646,6.140481453,7.736521839,0.0,115.765,6000.0,6000.0,0.242,32.21,67.55,68.3,76.5,6.05,8.0,301.6,70.94,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.241,36.0,343.0,348.0,344.0,451.7,2177.277968961293,59.42
Ba,56.0,222.0,293.0,39.0,137.327,1910.0,9.6,5540.0,215.0,196.0,161.0,149.0,215.0,3.5,268.0,0.89,0.14462,5.211,0.1586786,0.89,5.211664,7.12,0.0,-1.92352226,5.028899311,6.336016099999998,0.0,63.59,3000.0,2300.0,0.204,28.07,62.88,142.0,179.1,5.02,14.0,1002.0,38.16,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.192,18.0,268.0,303.0,307.0,370.3,1620.0,39.7
La,57.0,187.0,284.0,22.5,138.90547,3730.0,28.0,3730.0,207.0,180.0,139.0,139.0,195.0,6.15,210.0,1.1,0.47,3.775246255240583,0.163142,1.1,5.5769,6.2,0.0,-4.927546185,4.194456026,5.28468344,0.0,36.8975,9500.0,3100.0,0.195,27.11,37.42,402.0,431.0,3.75,33.0,1194.0,22.39,9.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.197,13.0,243.0,298.0,278.0,352.2,2475.0,31.1
Ce,58.0,181.0,282.0,21.0,140.116,3699.0,22.0,3480.0,204.0,163.0,137.0,131.0,185.0,6.7570000000000014,200.0,1.12,0.65,5.630338323755352,0.1676099999999999,1.12,5.5387,5.46,0.0,-4.77656965,4.207394381,5.300984746,0.0,37.24,9500.0,3100.0,0.192,26.94,34.47,398.0,420.1,5.16,32.0,1072.0,20.69,22.0,4.0,9.0,1.0,13.0,1.0,0.0,0.0,0.0,2.0,6.0,0.205,11.0,242.0,288.0,274.0,355.6,2100.0,29.6
Pr,59.0,182.0,286.0,20.8,140.90766000000005,3785.0,29.0,3760.0,203.0,176.0,138.0,128.0,185.0,6.773,190.0,1.13,0.962,4.386020023827503,0.1720799999999999,1.13,5.473,6.89,0.0,-4.77382996,4.14761076,5.225662103,0.0,35.675,9500.0,3100.0,0.193,27.2,34.5,331.0,356.9,3.67,31.0,1204.0,20.8,11.0,5.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,2.0,6.0,0.192,13.0,240.0,292.0,273.0,360.6,2280.0,28.2
Nd,60.0,182.0,284.0,20.6,144.24200000000005,3341.0,32.0,3560.0,201.0,174.0,137.0,137.05748860574346,185.0,7.0070000000000014,212.0,1.14,1.916,4.3973037627711085,0.176539,1.14,5.525,7.14,0.0,-4.76235134,4.1138142,5.183081107,0.0,34.81,9500.0,3100.0,0.19,27.45,34.2,289.0,326.9,3.66,30.0,1294.0,20.59,10.0,6.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,2.0,6.0,0.205,17.0,239.0,295.0,273.0,357.5,2330.0,31.4
Pm,61.0,182.8087683408777,283.0,25.18470419572556,144.91276000000005,3000.0,33.0,3340.0,199.0,173.0,135.0,133.45593023473418,185.0,7.2,212.0,1.13,2.898469498504882,4.870969221938037,0.1810032,1.0881051558304218,5.582000000000002,15.648727699466406,0.0,-4.744621343,4.075342789,5.134610166,0.0,33.8425,9500.0,3100.0,1.2146773780683917,26.298686209962653,33.67,298.1798180960184,320.2291025668391,4.547807047336407,29.0,1441.0,20.23,9.0,7.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,2.0,6.0,0.185,15.0,238.0,293.2335142817756,272.0,354.7,3933.2791903045054,30.1
Sm,62.0,181.0,280.0,19.9,150.36,2064.0,38.0,3130.0,198.0,172.0,134.0,131.3783491946497,185.0,7.52,194.0,1.17,2.5594132713429483,7.185921925889902,0.185468,1.17,5.6437,8.62,0.0,-4.713379635,4.050607032,5.103445064,0.0,33.23,9500.0,3100.0,0.196,29.54,33.14,165.0,206.7,9.0,28.0,1350.0,19.98,8.0,8.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,6.0,0.18,13.0,236.0,290.0,271.0,352.0,2130.0,28.8
Eu,63.0,199.0,280.0,28.9,151.964,1870.0,8.3,2940.0,198.0,168.0,134.0,127.86562751662338,185.0,5.242999999999999,187.0,1.19,0.8640000000000001,6.999500538925008,0.189935,1.2636250910197395,5.6703800000000015,9.21,0.0,-1.82958684,4.177811939,5.263713205,0.0,36.46,9500.0,3100.0,0.182,27.66,48.53,176.0,177.4,4.61,18.0,1095.0,28.97,7.0,9.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2.0,6.0,0.176,14.0,235.0,287.0,294.0,349.3,2865.150654807972,27.7
Gd,64.0,179.0,277.0,19.9,157.25,3539.0,38.0,2340.0,196.0,169.0,135.0,132.0,180.0,7.9,159.0,1.21,3.0758450174937475,6.39773840235108,0.1944,1.2,6.1498,9.67,0.0,-4.65442131,4.002082249,5.042307669,0.0,32.05,9500.0,3100.0,0.235,37.03,32.98,398.0,397.5,3.64,27.0,1586.0,19.9,16.0,10.0,9.0,1.0,7.0,7.0,0.0,0.0,0.0,2.0,6.0,0.23,11.0,234.0,283.0,271.0,336.8,2680.0,23.5
Tb,65.0,180.0,276.0,19.2,158.92535,3296.0,38.7,2590.0,194.0,168.0,135.0,128.54546604187263,175.0,8.229,172.0,1.13,1.165,6.901183252913362,0.198863,1.3006064486624138,5.8638,10.15,0.0,-4.629217697,3.988997542,5.025821971,0.0,31.73666667,9500.0,3100.0,0.182,28.91,31.95,389.0,388.7,3.6,26.0,1629.0,19.3,5.0,11.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,2.0,6.0,0.183,11.0,233.0,279.0,270.0,345.1,2620.0,25.5
Dy,66.0,180.0,275.0,19.0,162.5,2835.0,41.0,2430.0,192.0,167.0,133.0,126.21530797457152,175.0,8.55,165.0,1.22,0.352,8.239109453254677,0.20333,1.22,5.9389,11.35,0.0,-4.601554453,3.968079278,4.99946661,0.0,31.24,9500.0,3100.0,0.173,28.16,31.6,291.0,290.4,3.59,24.0,1685.0,19.01,4.0,12.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,2.0,6.0,0.173,11.0,231.0,287.0,290.0,342.8,2710.0,24.5
Ho,67.0,179.0,273.0,18.7,164.93033,2968.0,40.0,2280.0,192.0,166.0,133.0,131.5972348614607,175.0,8.795,159.0,1.23,2.548944836284661,8.13343446875534,0.207795,1.23,6.0215,11.76,0.0,-4.577416877,3.946510119,4.972291172,0.0,30.73333333,9500.0,3100.0,0.165,27.15,31.11,301.0,300.6,3.58,23.0,1747.0,18.74,3.0,13.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,6.0,0.1639999999999999,16.0,230.0,281.0,267.0,340.9,2760.0,23.6
Er,68.0,178.0,272.0,18.4,167.259,3136.0,44.0,2150.0,189.0,165.0,133.0,125.64951571191013,175.0,9.06,153.0,1.24,2.2370049719458454,7.650297997235955,0.212261,1.24,6.1077,19.9,0.0,-4.563633745,3.940150647,4.964278739,0.0,30.585,9500.0,3100.0,0.168,28.12,30.67,317.0,316.4,3.56,22.0,1802.0,18.46,2.0,14.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,2.0,6.0,0.168,15.0,229.0,283.0,267.0,339.1,2830.0,22.7
Tm,69.0,177.0,271.0,18.1,168.93421999999995,2220.0,45.0,2020.0,190.0,164.0,131.0,115.12901022793804,175.0,9.321,147.0,1.25,1.029,10.020757296138836,0.2167244,1.25,6.18431,16.84,0.0,-4.47387849,3.905274476,4.920337518,0.0,29.78,9500.0,3100.0,0.16,27.03,30.14,232.0,232.2,3.54,21.0,1818.0,19.1,1.0,15.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,2.0,6.0,0.16,17.0,227.0,279.0,267.0,337.4,4494.936929028448,21.8
Yb,70.0,194.0,277.0,24.8,173.045,1466.0,31.0,1910.0,187.0,170.0,129.0,122.0090125707488,175.0,6.9654,140.7,1.26,-0.02,9.358341814417448,0.22119,1.439019318779844,6.25416,7.66,0.0,-1.47410408,4.0864514110000005,5.148606152,0.0,34.12,9500.0,3100.0,0.155,26.74,41.17,159.0,155.6,5.49,17.0,1097.0,24.84,0.0,16.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,6.0,0.145,39.0,226.0,280.0,279.0,335.5,1590.0,20.9
Lu,71.0,175.0,270.0,17.8,174.9668,3668.0,48.0,2020.0,187.0,162.0,131.0,131.0,175.0,9.8404,148.0,1.27,0.34,6.455,0.22565,1.0,5.42586,18.65,0.0,-4.52300002,3.864860763,4.869419431,0.0022471,28.865,9500.0,3100.0,0.154,26.86,29.52,414.0,427.6,3.51,20.0,1936.0,17.78,9.0,17.0,9.0,1.0,0.0,14.0,0.0,0.0,0.0,2.0,6.0,0.155,16.0,224.0,274.0,265.0,364.0,4119.860704439106,21.9
Hf,72.0,167.0,264.0,13.6,178.49,5470.0,110.0,1040.0,175.0,152.0,128.0,122.0,155.0,13.31,109.0,1.3,0.014,6.83,0.229987,1.3,6.825069999999998,27.2,0.0,-9.954299335,3.541014105,4.461398209,0.0,22.2,3400.0,2600.0,0.144,25.73,22.42,575.0,618.4,3.2,50.0,2503.0,13.44,8.0,18.0,8.0,2.0,0.0,14.0,0.0,0.0,0.0,2.0,6.0,0.146,23.0,223.0,263.0,253.0,314.1,3010.0,16.2
Ta,73.0,149.0,258.0,10.9,180.94788,5698.0,200.0,887.0,170.0,146.0,126.0,119.0,145.0,16.654,88.0,1.5,0.322,7.93,0.234581,1.5,7.54957,36.57,0.0,-11.85139954,3.309248619,4.169391995,0.0,18.12,2300.0,4800.0,0.14,25.36,17.65,758.0,782.0,3.31,52.0,3269.0,10.85,7.0,19.0,7.0,3.0,0.0,14.0,0.0,0.0,0.0,2.0,6.0,0.14,57.0,222.0,253.0,243.0,317.0,3400.0,13.1
W,74.0,141.0,253.0,9.53,183.84,5930.0,310.0,757.0,162.0,137.0,120.0,115.0,135.0,19.3,75.0,2.36,0.81626,8.67,0.2390504,1.7,7.86403,52.31,0.0,-12.95880062,3.1781057510000004,4.004162334,0.0,16.05,7000.0,4300.0,0.132,24.27,15.85,824.0,851.0,3.16,55.0,3680.0,9.47,6.0,20.0,6.0,4.0,0.0,14.0,0.0,0.0,0.0,2.0,6.0,0.133,170.0,218.0,257.0,239.0,309.6,5174.0,11.1
Re,75.0,137.0,249.0,8.85,186.207,5900.0,370.0,663.0,151.0,131.0,119.0,110.0,135.0,21.02,65.0,1.9,0.15,9.46,0.2435164,1.9,7.83352,34.08,0.0,-12.41702777,3.083225384,3.884620563,0.0,14.655,3300.0,3300.0,0.1369999999999999,25.48,14.71,704.0,774.0,2.76,58.0,3453.0,8.86,5.0,21.0,5.0,5.0,0.0,14.0,0.0,0.0,0.0,2.0,6.0,0.138,48.0,216.0,249.0,237.0,295.4,4700.0,9.7
Os,76.0,135.0,244.0,8.43,190.23,5300.0,284.8478670845983,584.0,144.0,129.0,116.0,109.0,130.0,22.57,57.0,2.2,1.1,9.78,0.2479845,2.2,8.43823,57.85,0.0,-11.22070399,3.043082054,3.834043137,0.0,14.09,5500.0,9100.0,0.13,24.7,13.8,738.0,787.0,2.74,63.0,3327.0,8.42,4.0,22.0,4.0,6.0,0.0,14.0,0.0,0.0,0.0,2.0,6.0,0.131,88.0,216.0,248.0,235.0,312.0,4940.0,8.5
Ir,77.0,136.0,233.0,8.54,192.217,4403.0,320.0,522.0,141.0,122.0,115.0,107.0,135.0,22.42,51.0,2.2,1.5638,9.96,0.25106,2.2,8.96702,41.12,0.0,-8.84851145,3.051696628,3.84489682,0.0,14.21,5500.0,9100.0,0.131,25.1,13.88,604.0,669.0,3.84,66.0,2683.0,8.52,3.0,23.0,3.0,7.0,0.0,14.0,0.0,0.0,0.0,2.0,6.0,0.133,150.0,213.0,241.0,236.0,284.0,4825.0,7.6
Pt,78.0,139.0,230.0,9.1,195.084,4100.0,230.0,470.0,136.0,123.0,112.0,110.0,135.0,21.45,44.0,2.28,2.128,10.16,0.25691,2.2,8.9588,22.175,0.0,-6.02850968,3.108612885,3.91660681,0.0,15.02,5500.0,9100.0,0.133,25.86,15.1,470.0,565.7,3.92,68.0,2045.0,9.09,2.0,24.0,1.0,9.0,0.0,14.0,0.0,0.0,1.0,1.0,6.0,0.133,72.0,213.0,229.0,239.0,275.4,2680.0,6.5
Au,79.0,146.0,226.0,10.2,196.966569,3080.0,220.0,427.0,136.0,124.0,121.0,123.0,135.0,19.3,36.1,2.54,2.30863,11.33,0.26137,2.4,9.22553,12.55,0.0,-3.20969261,3.220442052,4.0575027310000005,0.0,16.7,1100.0,1000.0,0.129,25.418000000000006,16.96,340.0,368.2,4.08,70.0,1337.58,10.21,1.0,25.0,0.0,10.0,0.0,14.0,0.0,0.0,1.0,1.0,6.0,0.129,320.0,214.0,232.0,243.0,329.3,1740.0,5.8
Hg,80.0,157.0,229.0,14.8,200.592,629.73,25.0,268.0,132.0,133.0,142.0,114.77421021108783,150.0,13.546,33.91,2.0,2.2256767429313045,10.44,0.1689999999999999,1.9,10.4375,2.295,0.0,-0.250105562,3.695665057,4.656246199,0.0,25.23758621,5500.0,3100.0,0.14,27.983,23.82,58.5,61.38,2.99,74.0,234.28,14.09,0.0,26.0,0.0,10.0,0.0,14.0,0.0,0.0,0.0,2.0,6.0,0.138,8.3,223.0,245.0,253.0,270.5,1407.0,5.02
Tl,81.0,171.0,242.0,17.2,204.38,1730.0,43.0,509.0,145.0,144.0,142.0,150.0,190.0,11.85,51.7,1.62,0.377,12.640390033061689,0.173447,1.8,6.108194,4.142,0.0,-2.27267753,3.775558738,4.756905929,0.0,26.91,6500.0,6500.0,0.129,26.32,28.53,162.4,182.2,3.46,78.0,576.6,17.22,5.0,27.0,0.0,10.0,0.0,14.0,5.0,1.0,0.0,2.0,6.0,0.128,46.0,196.0,247.0,259.0,434.7,818.0,7.6
Pb,82.0,175.0,249.0,18.3,207.2,2013.0,46.0,534.0,146.0,144.0,135.0,137.0,143.46626849657218,11.35,47.1,2.33,0.35674316,10.97,0.177911,1.8,7.41663,4.774,0.0,-3.62902961,3.830865877,4.826588558,0.0,28.11,2700.0,1800.0,0.13,24.7,30.32,177.8,195.2,4.95,82.0,600.65,18.26,4.0,28.0,0.0,10.0,0.0,14.0,4.0,2.0,0.0,2.0,6.0,0.159,35.0,202.0,260.0,274.0,429.7,1260.0,6.98
Bi,83.0,170.0,250.0,21.3,208.9804,1883.0,31.0,513.0,148.0,151.0,141.0,135.0,160.0,9.747,50.0,2.02,0.942362,11.9,0.182377,1.9,7.2855,11.106,0.0,-3.9736944,4.039197959,5.089070533,0.0,32.95,5300.0,6000.0,0.122,25.52,35.38,172.0,209.6,4.75,87.0,544.5,21.31,3.0,29.0,0.0,10.0,0.0,14.0,3.0,3.0,0.0,2.0,6.0,0.124,8.0,207.0,254.0,266.0,437.0,1790.0,7.4
Po,84.0,176.0,250.0,22.7,209.0,1235.0,75.79360663772891,424.0,140.0,145.0,135.0,129.0,190.0,9.32,46.0,2.0,1.9,13.0,0.186842,2.0,8.414,10.0,0.0,-4.039348349,4.2628217180000005,5.370818814,0.0,38.73125,4272.8847625248745,3871.1807734344734,1.5100478221077878,27.06603795297699,37.38,102.9,214.7722146522903,3.35,91.0,527.0,22.97,2.0,30.0,0.0,10.0,0.0,14.0,2.0,4.0,0.0,2.0,6.0,0.125,20.0,197.0,214.272043861832,259.0,470.9,3106.8520082312248,6.8
At,85.0,147.66493308192835,247.0,20.9319163474604,210.0,610.0,63.40060618146543,351.0,150.0,147.0,138.0,138.0,128.37076708006816,6.052295854647455,43.0,2.22,2.8,14.1,0.19131,2.2,11.146514808330748,11.053309314762744,0.0,-4.039348349,4.2628217180000005,5.370818814,0.0,38.73125,4650.134553398682,3891.22460569522,1.9408481881021475,28.099651043050503,39.49,63.476487683675536,175.03449727028362,4.945939271355963,96.0,575.0,19.275340383131063,1.0,31.0,0.0,10.0,0.0,14.0,1.0,5.0,0.0,2.0,6.0,0.9682251935002202,2.0,202.0,203.052362773897,251.0,475.0,3852.278359010672,6.0
Rn,86.0,150.17554663324086,243.0,22.895519852322828,222.0,211.4,56.49968798222711,408.0,150.0,142.0,145.0,133.0,135.15418360324577,4.4,33.18,2.43,1.929331299518276,15.4,0.195772,2.043894281034416,10.7485,7.728805587905447,0.0,-4.039348349,4.2628217180000005,5.370818814,0.0,38.73125,3952.462218900385,3551.1338784876725,0.094,20.786,41.71,18.1,119.78468086302148,4.960327852362658,6.0,202.0,50.5,0.0,32.0,0.0,10.0,0.0,14.0,0.0,6.0,0.0,2.0,6.0,0.094,0.00361,220.0,240.0,243.0,476.5,2710.61271528947,5.3
Fr,87.0,174.67381091025368,258.0,29.4525829320797,223.0,950.0,72.5277408131756,1953.8697729113464,260.0,223.0,218.0,133.37635277162985,165.39862497314596,5.4737977422451936,311.5,0.71,0.486,9.52320070158103,0.08731,0.7,4.0727410000000015,7.297893185125186,0.0,-4.039348349,4.2628217180000005,5.370818814,0.0,38.73125,5016.385914847841,3155.9720118300065,1.4433292758816154,31.20169117254789,79.69,55.1781008323071,142.9444811480133,5.319359140204623,7.0,300.0,30.61743959697888,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.8644909270030874,69.93748068864515,348.0,247.96004417539825,364.0,490.0,2864.36086057414,48.6
Ra,88.0,170.25536006259154,292.0,45.0,226.0,1413.0,80.25391693552058,1959.613051029805,221.0,201.0,173.0,159.0,215.0,5.5,242.8,0.92,0.1,10.311502720091198,0.09789,0.9,5.278423,7.7,0.0,-4.039348349,4.2628217180000005,5.370818814,0.0,38.73125,4798.615715798005,3678.2198103718592,1.4188245896488405,26.96763440871296,68.22,113.0,159.0,4.8936975663750495,13.0,973.0,41.09,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.12,19.0,283.0,248.93342659570223,327.0,367.7,4596.620587214259,38.3
Ac,89.0,188.0,293.0,22.54,227.0,3470.0,109.79929913724352,2178.5907387106868,215.0,186.0,153.0,140.0,195.0,9.756749057607085,217.0,1.09,0.35,8.0398836121487,0.10033,1.1,5.17,12.0,0.0,-4.1050022980000005,4.465163104,5.625752986,0.0,44.5125,6777.447303608536,4454.3839340231925,0.12,27.2,37.45,292.9,406.0,5.31,48.0,1320.0,22.55,9.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.7167260311372583,12.0,247.0,280.0,308.0,347.8,3633.6429533514142,32.1
Th,90.0,180.0,289.0,19.8,232.0377,5060.0,54.0,2513.278129411477,206.0,175.0,143.0,136.0,180.0,11.78,217.0,1.32,2.91897107760798,5.619315078592641,0.10277,1.3,6.3067,13.81,0.0,-7.41254306,4.015357627,5.059033597,0.0,32.37,7607.018786583178,4738.3317722557,0.118,27.32,32.86,513.7,602.0,5.08,47.0,2028.0,19.8,8.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.113,54.0,245.0,293.0,274.0,339.6,2490.0,32.1
Pa,91.0,161.0,285.0,15.0,231.03588,4300.0,145.39968415729626,2039.2993260116327,200.0,169.0,138.0,129.0,180.0,15.37,171.0,1.54,2.8854561436672483,6.557193021169397,0.12149,1.5,5.89,12.34,0.0,-9.49741247,3.692852039,4.652702018,0.0,25.18,5931.480789984743,4534.898530950532,1.345172425630971,23.74970846059329,24.94,481.2,563.0,3.92,46.0,2113.0,15.18,21.0,5.0,9.0,1.0,12.0,2.0,0.0,0.0,0.0,2.0,7.0,0.121,47.0,243.0,288.0,264.0,342.4,5621.547555197077,25.4
U,92.0,138.0,283.0,12.5,238.02891,4018.0,100.0,2491.2925796833915,196.0,170.0,134.0,118.0,175.0,19.05,137.0,1.38,3.1122827864312685,5.594914253258307,0.13207,1.7,6.1941,9.14,0.0,-11.29233996,3.42137628,4.310663995,0.0,20.025,8060.265334376807,4021.325326531181,0.116,27.665,21.18,417.0,533.0,2.85,45.0,1405.5,12.49,20.0,6.0,9.0,1.0,11.0,3.0,0.0,0.0,0.0,2.0,7.0,0.115,27.0,241.0,271.0,252.0,339.5,3155.0,24.9
Np,93.0,130.0,280.0,21.1,237.0,4175.0,124.10171437499952,2398.576467126777,190.0,171.0,136.0,116.0,175.0,20.25,167.0,1.36,3.3806706089890177,6.515828492467341,0.14265,1.3,6.2657,3.2,0.0,-12.94031436,3.329442683,4.194834921,0.0,18.45375,7658.348670665212,4222.775527100202,1.5253004652649702,26.765374201505807,19.22,336.0,464.8,4.72,44.0,913.0,11.59,19.0,7.0,9.0,1.0,10.0,4.0,0.0,0.0,0.0,2.0,7.0,0.5433882247927018,6.0,239.0,282.0,252.0,342.4,2999.089591906873,24.8
Pu,94.0,151.0,278.0,21.156594145943878,244.0,3505.0,90.47093767858264,2294.423314692323,187.0,172.0,135.0,135.25165046603215,175.0,19.84,165.0,1.28,2.841452898837058,6.637731448040938,0.16137,1.3,6.026,2.824,0.0,-14.32663431,3.306811764,4.166321749,0.318003638,18.08,7747.71480928509,4069.620140952939,0.9880769883438824,27.86135997993675,20.04,343.5,345.0,4.221422036325316,43.0,914.0,12.29,8.0,8.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,7.0,0.6460768544404771,6.0,243.0,281.0,252.0,342.4,2260.0,24.5
